i,group,x1,x2,omega1,omega2,A1,A2,res1,res2,lambda_min,lambda_max,anisotropy,detG,logdetG,lambda_radial,lambda_tangent,ratio_tangent_radial
12,0,0.4266731120658931,0.16449728062952615,1.0062579773375426,0.44276855135813314,1.0117630760537168,0.44469366729140314,-0.005505098716174217,-0.001925115933269994,2.0868137627087995,2.4604693240694973,1.1790555381787746,5.134541248191045,1.6359905011600322,2.090003738070715,2.4572793487075817,1.1757296429411648
17,0,0.42666859439904026,0.16450136872074375,1.0062579773375426,0.44276855135813314,1.0117515240198443,0.4447061098994809,-0.00549354668230162,-0.0019375585413477503,2.086817770002513,2.460450546646032,1.1790442759374573,5.134511922953337,1.635984789779008,2.090006509456705,2.457261807191839,1.1757196908590497
22,0,0.42668462621993897,0.1644892660851107,1.0062579773375426,0.44276855135813314,1.0117922504483912,0.4446689760488565,-0.005534273110848531,-0.001900424690723379,2.0868076123274295,2.4605178057478327,1.179082245633368,5.13462728730176,1.6360072579423208,2.09000013705581,2.457325281019452,1.175753645873485
29,0,0.4265024514285626,0.16448357581903167,1.0062579773375426,0.44276855135813314,1.011345444668504,0.44467280938573367,-0.005087467330961326,-0.001904258027600525,2.086681354245884,2.459716638922258,1.1787696448800573,5.132644847167431,1.6356210910748217,2.0898666660486396,2.456531327119503,1.175448829835697
33,0,0.427338711444209,0.16452048007814363,1.0062579773375426,0.44276855135813314,1.013395240588804,0.4446866264449294,-0.007137263251261405,-0.001918075086796256,2.0872775092547866,2.4633967022360657,1.180196064640951,5.141792532949752,1.6374017604897977,2.090492938214618,2.4601812732762345,1.1768426615099443
38,0,0.4267620780536377,0.16447881877498388,1.0062579773375426,0.44276855135813314,1.0119836470835,0.4446297834153953,-0.00572566974595734,-0.00186123205726213,2.086839606620147,2.4608551362345445,1.1792258151646617,5.135409964448866,1.636159677476824,2.090038410296549,2.457656332558143,1.175890510169827
39,0,0.4267308576893925,0.164505984351512,1.0062579773375426,0.44276855135813314,1.0119039325573937,0.4447125934739993,-0.005645955219851118,-0.0019440421158661292,2.0868653433275144,2.460725026246945,1.1791489250203897,5.135201776733436,1.6361191370064596,2.0900558707990253,2.4575344987754324,1.1758223945639887
40,0,0.4268434772516666,0.16449137194814595,1.0062579773375426,0.44276855135813314,1.0121821691339776,0.4446572921974222,-0.005924191796434997,-0.0018887408392890825,2.086912797624123,2.4612156548975026,1.1793572101812353,5.136342447918435,1.6363412401614945,2.090112300384389,2.458016152137237,1.176021093070065
43,0,0.4265144180652178,0.16448312369669776,1.0062579773375426,0.44276855135813314,1.0113748863899104,0.4446701461348106,-0.005116909052367724,-0.001901594776677451,2.0866882514059046,2.459769050862951,1.178790865959821,5.132771179607573,1.6356457042887078,2.0898742442459737,2.4565830580228813,1.1754693205998221
54,0,0.4263299881552722,0.1644570604636224,1.0062579773375426,0.44276855135813314,1.0109248044003576,0.44461472695885973,-0.00466682706281496,-0.001846175600726585,2.086525623189047,2.4589525453162953,1.178491420372797,5.130667492008376,1.6352357661196464,2.089709341401332,2.4557688271040106,1.1751724407075692
56,0,0.42675943063117855,0.16450401436937107,1.0062579773375426,0.44276855135813314,1.0119743300685224,0.44470363385139594,-0.005716352730979812,-0.0019350824932627964,2.0868802881685022,2.4608499387145146,1.1792003368215325,5.135499229243987,1.6361770595397824,2.0900726577397184,2.457657569143298,1.1758718339491123
65,0,0.4266142219244136,0.16446009217256438,1.0062579773375426,0.44276855135813314,1.011622584277683,0.4445916996089904,-0.005364606940140293,-0.001823148250857276,2.0867132291704817,2.4602012168264635,1.1789838596099054,5.133734425573098,1.6358333525510074,2.0899097160839393,2.457004729913007,1.1756511350724415
74,0,0.4268029631284503,0.16449857972372425,1.0062579773375426,0.44276855135813314,1.012081856888648,0.44468288085855856,-0.005823879551105415,-0.0019143295004254157,2.0868989825292057,2.4610396387011035,1.1792806740067792,5.135941117969377,1.636263101752116,2.090094767568643,2.4578438536616667,1.1759485224303095
79,0,0.4266200573914208,0.16448508459514102,1.0062579773375426,0.44276855135813314,1.0116341293020872,0.44466401522072163,-0.005376151964544551,-0.0018954638625884868,2.0867592204300687,2.460233289109735,1.1789732447439218,5.133914500458733,1.6358684287182879,2.0899497336371744,2.4570427759026283,1.1756468284175408
84,0,0.42691307771271797,0.16449086399389637,1.0062579773375426,0.44276855135813314,1.0123531715452079,0.4446479965038996,-0.006095194207665244,-0.001879445145766434,2.0869564727173597,2.4615210584613867,1.179478868218233,5.1370873056860775,1.636486246802278,2.090159384675224,2.458318146503522,1.1761390851470896
89,0,0.42703535625986966,0.1645367593743565,1.0062579773375426,0.44276855135813314,1.0126483571759066,0.4447682162105075,-0.006390379838363991,-0.00199966485237435,2.0871111331336656,2.4620692446313925,1.1796541188176937,5.138612131016175,1.6367830295859092,2.090308277188539,2.4588721005765195,1.1763203195481282
99,0,0.426660072823661,0.1644856574409845,1.0062579773375426,0.44276855135813314,1.0117323475199043,0.4446611964453646,-0.005474370182361632,-0.0018926450872314704,2.086785807728316,2.4604090949903386,1.1790424709034946,5.13434678063151,1.635952626064109,2.089978073009521,2.4572168297091337,1.175714167264347
102,0,0.42712842345589996,0.16454283137735037,1.0062579773375426,0.44276855135813314,1.012876253118219,0.4447754764164062,-0.006618275780676308,-0.002006925058273046,2.0871804902553817,2.462479191892663,1.1798113308309819,5.139638526978206,1.636982751503499,2.090380468516529,2.4592792136315156,1.1764744507858809
108,0,0.42688089912254745,0.16449486913748285,1.0062579773375426,0.44276855135813314,1.0122736897280868,0.44466329949115924,-0.0060157123905442145,-0.0018947481330260918,2.086942595153642,2.4613808093352225,1.179419508256294,5.1367604538954215,1.6364226188805073,2.090142985908909,2.458180418579956,1.1760824188355727
110,0,0.4266448045574394,0.16446663082936755,1.0062579773375426,0.44276855135813314,1.011696969875028,0.4446073596588838,-0.005438992537485365,-0.0018388083007506717,2.086743899170455,2.4603371694952583,1.1790316820733573,5.134093578346536,1.6359033094636957,2.0899402010191728,2.4571408676465407,1.1756991259598242
115,0,0.42656114446097293,0.16445925826088545,1.0062579773375426,0.44276855135813314,1.0114923117329349,0.44459521821839754,-0.005234334395392226,-0.001826666860264392,2.086677754469384,2.459967970663205,1.1788921242843,5.133160441090105,1.6357215398771572,2.0898719293350427,2.456773795797547,1.175561890330402
118,0,0.4265774779669172,0.1644890474913416,1.0062579773375426,0.44276855135813314,1.0115291079051003,0.44468036515463416,-0.00527113056755768,-0.0019118137965010162,2.0867386641806633,2.460047405459544,1.1788957801409485,5.133476036689756,1.635783019720226,2.089926169004164,2.4568599006360428,1.175572581019319
123,0,0.42666800472664873,0.1644607800908923,1.0062579773375426,0.44276855135813314,1.011754605414479,0.4445876753945792,-0.005496628076936405,-0.0018191240364460737,2.086748902766797,2.4604375221220987,1.1790769454148662,5.134315299614547,1.6359464945901707,2.0899477691493944,2.457238655739502,1.1757416582422988
126,0,0.4265235648507335,0.16445700856989895,1.0062579773375426,0.44276855135813314,1.011400261705677,0.44459286428106864,-0.005142284368134353,-0.0018243129229355004,2.086649818937178,2.459802396982175,1.1788285579393767,5.132746226284092,1.6356408427074558,2.0898427699539814,2.4566094459653716,1.1754996506361415
128,0,0.4265760948386924,0.16446608568919513,1.0062579773375426,0.44276855135813314,1.0115282707475792,0.44461347616017827,-0.005270293410036597,-0.0018449248020451225,2.0866989093734714,2.4600353773583197,1.1789124757327554,5.133353138953762,1.6357590789817766,2.0898920873361484,2.4568421993956435,1.1755832821622971
